index,reason,sl
2266,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5,1
2267,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change>0.3,0
2277,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5,1
2286,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_2;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_down;max_disp_change<;disp_monotone_up_false;disp_avg_change<,0
2355,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail<;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<,0
2432,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_middle;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_false;disp_avg_change<,0
2454,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_1;down_strick_0;trend_len_short;trend_max_ampl>0.01;trend_kind_up;prev_t_kind_down;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<,1
2498,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<,0
2511,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.3;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.5;disp_monotone_up_true;disp_avg_change>0.5,0
2542,extreme_disp_few;avg_ampl_gt_limit>0.007;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_short;trend_max_ampl>0.01;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_true;disp_avg_change>0.3,1
2584,extreme_disp_few;avg_ampl_gt_limit<;avg_disp_tail>0.2;up_strick_0;down_strick_1;trend_len_long;trend_max_ampl<;trend_kind_down;prev_t_kind_up;max_disp_change>0.3;disp_monotone_up_false;disp_avg_change<,0
